crop,state,plant_begin,harvest_end,plant_month,plant_day,harvest_month,harvest_day,doy_begin,doy_harvest,growingdays
Barley_Winter,1,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Corn_grain,1,3/25/2023,9/20/2023,3,25,9,20,84,263,180
Corn_Silage,1,3/15/2023,7/20/2023,3,15,7,20,74,201,128
Cotton_Upland,1,4/24/2023,10/20/2023,4,24,10,20,114,293,180
hay_Alfalfa,1,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,1,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,1,9/15/2023,6/25/2023,9,15,6,25,258,176,284
PEANUTS,1,4/25/2023,10/22/2023,4,25,10,22,115,295,181
POTATOES_summer,1,4/14/2023,8/23/2023,4,14,8,23,104,235,132
RYE,1,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,1,5/1/2023,10/30/2023,5,1,10,30,121,303,183
sorghum_silage,1,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,1,5/25/2023,11/28/2023,5,25,11,28,145,332,188
Wheat_Winter,1,10/21/2023,6/25/2023,10,21,6,25,294,176,248
Barley_Spring,2,3/30/2023,8/30/2023,3,30,8,30,89,242,154
Barley_Winter,2,10/1/2023,7/15/2023,10,1,7,15,274,196,288
hay_Alfalfa,2,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,2,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_fall,2,10/15/2023,8/20/2023,10,15,8,20,288,232,310
PEAS,2,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,2,4/5/2023,10/15/2023,4,5,10,15,95,288,194
Wheat_Spring,2,3/25/2023,8/30/2023,3,25,8,30,84,242,159
Barley_Winter,4,12/1/2023,6/20/2023,12,1,6,20,335,171,202
BEANS,4,5/20/2023,9/30/2023,5,20,9,30,140,273,134
Corn_grain,4,4/1/2023,11/1/2023,4,1,11,1,91,305,215
Corn_Silage,4,4/1/2023,11/1/2023,4,1,11,1,91,305,215
Cotton_Upland,4,4/1/2023,11/10/2023,4,1,11,10,91,314,224
hay_Alfalfa,4,10/6/2023,10/6/2023,10,6,10,6,279,279,366
hay_Non_Alfalfa,4,8/10/2023,8/10/2023,8,10,8,10,222,222,366
OATS_fall,4,10/1/2023,9/1/2023,10,1,9,1,274,244,336
PEAS,4,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,4,1/1/2023,6/15/2023,1,1,6,15,1,166,166
sorghum_grain,4,4/1/2023,11/1/2023,4,1,11,1,91,305,215
sorghum_silage,4,5/1/2023,10/30/2023,5,1,10,30,121,303,183
SUGARBEETS,4,4/5/2023,11/10/2023,4,5,11,10,95,314,220
Wheat_Durum,4,12/1/2023,6/15/2023,12,1,6,15,335,166,197
Wheat_Spring,4,4/1/2023,8/25/2023,4,1,8,25,91,237,147
Wheat_Winter,4,12/1/2023,6/15/2023,12,1,6,15,335,166,197
Barley_Winter,5,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Corn_grain,5,4/1/2023,9/23/2023,4,1,9,23,91,266,176
Corn_Silage,5,3/24/2023,8/29/2023,3,24,8,29,83,241,159
Cotton_Upland,5,4/30/2023,11/6/2023,4,30,11,6,120,310,191
hay_Alfalfa,5,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,5,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,5,10/1/2023,6/15/2023,10,1,6,15,274,166,258
PEANUTS,5,5/6/2023,10/31/2023,5,6,10,31,126,304,179
PEAS,5,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,5,4/5/2023,10/1/2023,4,5,10,1,95,274,180
RICE,5,4/14/2023,10/10/2023,4,14,10,10,104,283,180
sorghum_grain,5,4/13/2023,10/3/2023,4,13,10,3,103,276,174
sorghum_silage,5,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,5,5/5/2023,11/13/2023,5,5,11,13,125,317,193
Wheat_Winter,5,10/13/2023,6/25/2023,10,13,6,25,286,176,256
Barley_Spring,6,3/1/2023,9/20/2023,3,1,9,20,60,263,204
Barley_Winter,6,10/1/2023,7/15/2023,10,1,7,15,274,196,288
BEANS,6,5/1/2023,10/15/2023,5,1,10,15,121,288,168
CANOLA,6,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,6,4/1/2023,11/1/2023,4,1,11,1,91,305,215
Corn_Silage,6,4/15/2023,11/1/2023,4,15,11,1,105,305,201
Cotton_Upland,6,4/10/2023,11/1/2023,4,10,11,1,100,305,206
hay_Alfalfa,6,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,6,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_fall,6,10/1/2023,9/1/2023,10,1,9,1,274,244,336
OATS_Spring,6,3/1/2023,9/20/2023,3,1,9,20,60,263,204
PEANUTS,6,5/15/2023,10/30/2023,5,15,10,30,135,303,169
PEAS,6,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,6,1/1/2023,6/15/2023,1,1,6,15,1,166,166
RICE,6,5/1/2023,11/1/2023,5,1,11,1,121,305,185
sorghum_grain,6,5/20/2023,11/15/2023,5,20,11,15,140,319,180
sorghum_silage,6,5/1/2023,10/30/2023,5,1,10,30,121,303,183
SUGARBEETS,6,9/15/2023,8/1/2023,9,15,8,1,258,213,321
Wheat_Durum,6,10/20/2023,7/15/2023,10,20,7,15,293,196,269
Wheat_Spring,6,4/15/2023,8/25/2023,4,15,8,25,105,237,133
Wheat_Winter,6,10/20/2023,7/5/2023,10,20,7,5,293,186,259
Barley_Spring,8,3/26/2023,9/6/2023,3,26,9,6,85,249,165
BEANS,8,5/28/2023,10/13/2023,5,28,10,13,148,286,139
CANOLA,8,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,8,4/28/2023,11/13/2023,4,28,11,13,118,317,200
Corn_Silage,8,4/28/2023,9/30/2023,4,28,9,30,118,273,156
hay_Alfalfa,8,10/6/2023,10/6/2023,10,6,10,6,279,279,366
hay_Non_Alfalfa,8,8/10/2023,8/10/2023,8,10,8,10,222,222,366
OATS_Spring,8,3/28/2023,9/13/2023,3,28,9,13,87,256,170
PEAS,8,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,8,5/6/2023,10/11/2023,5,6,10,11,126,284,159
POTATOES_summer,8,4/14/2023,9/25/2023,4,14,9,25,104,268,165
RYE,8,9/12/2023,7/30/2023,9,12,7,30,255,211,322
sorghum_grain,8,5/19/2023,11/18/2023,5,19,11,18,139,322,184
sorghum_silage,8,5/19/2023,9/20/2023,5,19,9,20,139,263,125
SUGARBEETS,8,4/7/2023,11/4/2023,4,7,11,4,97,308,212
Wheat_Durum,8,12/1/2023,6/15/2023,12,1,6,15,335,166,197
Wheat_Spring,8,4/9/2023,9/17/2023,4,9,9,17,99,260,162
Wheat_Winter,8,9/11/2023,7/21/2023,9,11,7,21,254,202,314
Barley_Spring,9,4/7/2023,8/27/2023,4,7,8,27,97,239,143
BEANS,9,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,9,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,9,5/12/2023,10/16/2023,5,12,10,16,132,289,158
POTATOES_fall,9,5/15/2023,10/7/2023,5,15,10,7,135,280,146
Wheat_Winter,9,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Winter,10,10/9/2023,6/28/2023,10,9,6,28,282,179,263
Corn_grain,10,4/30/2023,10/15/2023,4,30,10,15,120,288,169
Corn_Silage,10,4/30/2023,9/18/2023,4,30,9,18,120,261,142
hay_Alfalfa,10,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,10,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_fall,10,9/27/2023,7/3/2023,9,27,7,3,270,184,280
POTATOES_summer,10,4/14/2023,8/23/2023,4,14,8,23,104,235,132
sorghum_grain,10,5/15/2023,11/10/2023,5,15,11,10,135,314,180
soybeans,10,5/30/2023,11/14/2023,5,30,11,14,150,318,169
Wheat_Winter,10,10/19/2023,7/8/2023,10,19,7,8,292,189,263
Corn_grain,12,3/15/2023,9/10/2023,3,15,9,10,74,253,180
Corn_Silage,12,3/15/2023,7/20/2023,3,15,7,20,74,201,128
Cotton_Upland,12,4/25/2023,11/20/2023,4,25,11,20,115,324,210
hay_Alfalfa,12,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,12,9/15/2023,9/15/2023,9,15,9,15,258,258,366
OATS_fall,12,9/15/2023,6/25/2023,9,15,6,25,258,176,284
